sentiment,text
0,"keripik ususnya rada bau bangkai, rasa asin banget. Saya 100% me review karena saya memang kecewa atas kualitas kripik usus yang bau menyengat. Harusnya anda menjadikannya bahan introspeksi bukannya malah menuduh saya kompetitor anda. Toko macem apa ini!!"
0,"Adminnya lambat. Barang juga tidak sampai di tangan saya setelah menunggu hampir 3 minggu. Padahal saya ada transaksi dari beberapa toko di hari yang sama dan semuanya sudah sampai maksimal 3 hari setelah saya pesan.Dari pihak kurir katanya udah sampai dan diterima keluarga dekat, padahal nama penerimanya aja ga kenal.Terus komplain ke toped, baru direspon setelah hampir 2 mggu dan akhirnya diputuskan dari pihak toped untuk direfund."
1,Berfungsi dengan baik. Kualitas sesuai harga. Penjualnya ramah banget. Proses pesanan cepat. Respon penjualnya top.
0,tipis bgt kyk stocking??
0,"pesen lilin 65 malah dikasih 95, mo dibalik jg angka 9 jd 6 ga ada sumbunya... kacau...fatal bgt gak dicek dlu sblm kirim ke customer"
1,Barang berfungsi dengan baik. Packaging aman ??. Barang Mudah Digunakan.
1,"Sudah dibuka, dicoba pasang, kuat nempelnya, kunciannya jg stabil, bongkar pasang hp nya gampang. Penjual jg responsif"
1,"Pengiriman cepat, packing aman.Produk disukai enak dan melengkapi asupan nutrisi yang diperlukan untuk pertumbuhan dan menjaga kesehatan."
1,sesuai harga
0,"gak sesuai ekspektasi. klo buat simpan barang2 yg agak berat kurang recomended. dan prosesnya lama, klo prosesnya gak sampe 2 hari mungkin sampe lebih cepat kali ya."
0,"Parah, pesan warna hitam atau biru dikirim kuning semua, buta warna apa seller nya? Udah gt lama banget diproses nya"
0,"Product ok lah , tp sayang ada beberapa sachet nya yg sobek , jadi di dalam nya beraktakan gel"
0,"brg tdk saya terima, entah nyasar dimana... kurirnya bloon"
1,"saya suka pelayanannya baik, pengirimannya cepat, packagingnya aman ada tulisan fragile handle with care, saya suka barangnya cuma ada saran sebaiknya bagian atas di box tidak ditekuk jadi kelihatan sedikit tidak bagus dan tidak rapi tp selain itu baik ??"
1,"admin ditanya2 respon cpt dan ramah, barang cpt sampe,sampe dgn rapih.tata cara install lengkap dijelasin,sisanya dipandu.sangat sangat membantu dan baik adminnya,rekomended bgt. next pasti beli2 disini lg. puas bgt"
0,"sesuai dengan harga. kualitas sangat buruk. pas saya colok ke komputer saya terus colokin headphone jack ke port headphone jack di usb nya saya punya headset nyala yang kanan doang, headset saya pas dicolokin di hedphone jack biasa dua dua nya nyala. kualitas mic juga sangat buruk. bener bener jangan beli. beli vention sound card aja kualitas lebih bagus tapi lebih mahal sedikit. apalagi tidak sesuai dengan foto keliatan lebih murah. aduh saya ilang 20 ribuan untuk ini. ??"
1,packing rapih aman makasih
1,"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss"
0,rasanya gak enak kuah nya masa kentel di bnyakin air malah asrep gak karuan pokok nya pretttt
1,"barangnya sudah sampai, cepet banget. recommended lah. tengkyuuu"
0,"barang tidak lengkap, sudah coba kirim video unboxing tapi ga bisa2 masuk.sudah minta nomer WA dan email, agar bisa kirim videonya tapi tidak direspon.dan sudah balas email ke tokopedia juga, tapi tidak di balas. percuma barang nya juga tidak bisa di pakai karena tidak lengkap(padahal di gambar tertera free)"
0,"baru beli seminggu yg lalu, cuma pake bentar, pas mau pake lagi uda ga bunyi."
0,Kecewa karna pesen barangnya yg hitam tapi dikirim nya yg masker medis karet warna hijau.. Kok ngga bener gitu ya pelayanannya.. Ckckck
1,Good
0,paraahh bgt box hipseat tdk sesuai dgn yg saya pesan. box rusak banget padahal kemasan luar rapih. itu berarti box sdh rusak sblm dikirim tapi maksa dikirim ke cust. bahan nya agak kasar ga lembut. saya khawatir ini gak ori. walopun lg promo tp tolong diberesin dong pengemasan nya. masa salah box gimana sih.
0,ngirim keluar daerah.....jangan pake kurir anteraja bosku......ke pelosok2 dia gk masuk....karna gk punya cabang didaerah kecil2
